"年","週","始まり","終わり","総数","北海道","青森県","岩手県","宮城県","秋田県","山形県","福島県","茨城県","栃木県","群馬県","埼玉県","千葉県","東京都","神奈川県","新潟県","富山県","石川県","福井県","山梨県","長野県","岐阜県","静岡県","愛知県","三重県","滋賀県","京都府","大阪府","兵庫県","奈良県","和歌山県","鳥取県","島根県","岡山県","広島県","山口県","徳島県","香川県","愛媛県","高知県","福岡県","佐賀県","長崎県","熊本県","大分県","宮崎県","鹿児島県","沖縄県"
2020,"23週",2020-06-01,2020-06-07,15,1,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
2020,"24週",2020-06-08,2020-06-14,7,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
2020,"25週",2020-06-15,2020-06-21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2020,"26週",2020-06-22,2020-06-28,9,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2020,"27週",2020-06-29,2020-07-05,11,1,1,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2020,"28週",2020-07-06,2020-07-12,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020,"29週",2020-07-13,2020-07-19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2020,"30週",2020-07-20,2020-07-26,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2020,"31週",2020-07-27,2020-08-02,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6
2020,"32週",2020-08-03,2020-08-09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020,"33週",2020-08-10,2020-08-16,6,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2020,"34週",2020-08-17,2020-08-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"35週",2020-08-24,2020-08-30,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"36週",2020-08-31,2020-09-06,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020,"37週",2020-09-07,2020-09-13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"38週",2020-09-14,2020-09-20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020,"39週",2020-09-21,2020-09-27,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
2020,"40週",2020-09-28,2020-10-04,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"41週",2020-10-05,2020-10-11,17,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,1,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2020,"42週",2020-10-12,2020-10-18,20,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2020,"43週",2020-10-19,2020-10-25,29,1,0,0,0,2,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,1,2
2020,"44週",2020-10-26,2020-11-01,32,1,1,0,0,0,0,0,0,0,0,1,1,4,0,2,0,0,0,0,0,2,1,1,2,4,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,3
2020,"45週",2020-11-02,2020-11-08,23,1,1,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,1,0,1,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020,"46週",2020-11-09,2020-11-15,22,3,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,1,1,0,2,1,0,2,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020,"47週",2020-11-16,2020-11-22,44,2,0,0,0,0,0,0,0,2,0,5,0,5,2,2,0,0,0,0,0,0,2,0,1,2,4,4,1,0,0,0,1,3,3,0,2,0,0,0,0,0,0,0,0,0,1,2
2020,"48週",2020-11-23,2020-11-29,49,1,0,1,0,0,0,0,1,0,0,0,4,4,1,0,1,0,1,0,0,0,0,2,8,6,0,6,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,1,3,4
2020,"49週",2020-11-30,2020-12-06,63,2,0,0,0,0,0,1,0,1,1,2,3,3,1,0,1,0,0,0,0,1,2,1,16,4,0,11,1,0,0,0,3,4,0,0,0,0,0,0,0,0,2,0,0,0,3,0
2020,"50週",2020-12-07,2020-12-13,58,4,0,0,0,0,0,2,1,2,0,0,1,4,14,0,0,0,0,0,0,1,3,5,3,2,4,4,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,1,0,0,1,1
2020,"51週",2020-12-14,2020-12-20,71,0,0,0,0,0,0,2,0,1,4,1,3,3,2,1,1,0,0,0,1,2,1,4,3,0,0,12,1,0,0,0,0,7,2,2,0,0,1,0,7,0,4,0,0,0,3,3
2020,"52週",2020-12-21,2020-12-27,69,0,3,0,0,0,0,2,2,1,1,1,2,2,4,1,1,0,0,0,1,1,1,2,3,2,12,10,0,0,0,1,2,4,1,0,0,0,0,0,1,1,1,0,0,0,3,3
2020,"53週",2020-12-28,2021-01-03,69,3,0,1,0,1,0,2,0,1,0,2,3,1,5,0,1,0,0,0,2,3,0,7,9,6,1,4,0,0,0,0,0,4,3,0,0,0,0,0,3,0,3,0,1,1,1,1
2021,"01週",2021-01-04,2021-01-10,68,4,1,0,0,0,0,1,1,0,0,1,7,3,0,3,0,0,0,0,1,2,0,5,3,3,7,9,1,0,0,1,1,4,0,1,0,0,1,0,0,0,3,0,0,1,2,2
2021,"02週",2021-01-11,2021-01-17,56,3,0,1,0,0,1,2,0,0,1,3,3,4,4,1,1,0,0,0,0,1,0,3,2,1,6,6,1,0,0,0,0,5,0,0,0,1,1,0,1,0,0,2,1,0,0,1
2021,"03週",2021-01-18,2021-01-24,58,4,0,0,0,0,0,3,0,1,1,1,1,5,1,1,0,0,0,0,0,3,0,4,2,2,14,2,3,0,0,0,0,6,2,0,0,0,0,0,2,0,0,0,0,0,0,0
2021,"04週",2021-01-25,2021-01-31,58,0,1,0,0,0,3,2,3,0,0,0,3,5,0,3,0,0,0,0,1,0,1,1,1,4,10,3,2,0,0,0,3,9,2,0,0,0,0,0,0,0,0,0,0,0,1,0
2021,"05週",2021-02-01,2021-02-07,91,6,0,1,0,0,44,1,1,2,0,3,3,5,3,0,2,0,0,0,0,0,0,1,1,2,3,3,0,0,0,0,3,0,4,1,0,0,0,1,1,0,0,0,0,0,0,0
2021,"06週",2021-02-08,2021-02-14,48,5,0,0,0,0,15,3,0,0,0,2,4,0,2,0,1,0,0,0,0,2,0,1,1,1,4,2,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1
2021,"07週",2021-02-15,2021-02-21,39,1,1,0,0,0,2,1,0,1,2,0,3,2,3,1,0,0,0,0,0,3,1,0,1,0,2,6,1,0,0,0,0,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2021,"08週",2021-02-22,2021-02-28,46,2,1,0,0,0,0,0,1,1,0,3,1,0,2,2,1,0,0,0,2,4,2,3,0,3,7,6,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2021,"09週",2021-03-01,2021-03-07,26,2,0,0,2,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,3,2,5,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
2021,"10週",2021-03-08,2021-03-14,45,7,0,0,3,0,0,1,0,0,1,1,3,2,1,2,0,0,0,0,1,1,2,3,0,3,1,3,1,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,1,1
2021,"11週",2021-03-15,2021-03-21,24,2,0,1,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,2,1,0,1,3,1,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2021,"12週",2021-03-22,2021-03-28,26,2,0,0,1,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,3,0,0,0,2,1,2,1,0,0,0,1,1,1,0,2,1,2,0,1,0,0,0,0,0,0,0
2021,"13週",2021-03-29,2021-04-04,24,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,3,0,1,2,0,2,5,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
2021,"14週",2021-04-05,2021-04-11,18,2,0,0,2,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,2,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
2021,"15週",2021-04-12,2021-04-18,12,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2021,"16週",2021-04-19,2021-04-25,17,1,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2
2021,"17週",2021-04-26,2021-05-02,14,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2021,"18週",2021-05-03,2021-05-09,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"19週",2021-05-10,2021-05-16,9,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2021,"20週",2021-05-17,2021-05-23,8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"21週",2021-05-24,2021-05-30,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"22週",2021-05-31,2021-06-06,6,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"23週",2021-06-07,2021-06-13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"24週",2021-06-14,2021-06-20,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2021,"25週",2021-06-21,2021-06-27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2021,"26週",2021-06-28,2021-07-04,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2021,"27週",2021-07-05,2021-07-11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,"28週",2021-07-12,2021-07-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"29週",2021-07-19,2021-07-25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"30週",2021-07-26,2021-08-01,5,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"31週",2021-08-02,2021-08-08,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,"32週",2021-08-09,2021-08-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"33週",2021-08-16,2021-08-22,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"34週",2021-08-23,2021-08-29,5,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"35週",2021-08-30,2021-09-05,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2021,"36週",2021-09-06,2021-09-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"37週",2021-09-13,2021-09-19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"38週",2021-09-20,2021-09-26,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2021,"39週",2021-09-27,2021-10-03,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
