県番号,都道府県,名称,郵便番号,住所,緯度,経度
44,大分県,大分,870-0016,大分県大分市新川町2丁目5-45　新川ビル,33.2499752,131.6084133
44,大分県,別府,874-0916,大分県別府市中須賀本町2組　竹光ビル2F,33.2948211,131.5013202
45,宮崎県,宮崎,880-0924,宮崎県宮崎市大字郡司分丙9857-4,31.8697517,131.4209338
45,宮崎県,都城,885-0033,宮崎県都城市妻ケ丘町8-1,31.73091,131.0750927
43,熊本県,熊本,862-0954,熊本県熊本市中央区神水1-33-22　末永ビル3Ｆ,32.7838306,130.7458448
43,熊本県,八代,866-0857,熊本県八代市出町6-45-2,32.5081951,130.6071194
43,熊本県,城北,865-0058,熊本県玉名市六田10-7,32.9240933,130.5458725
43,熊本県,熊本阿蘇,861-8041,熊本県熊本市東区戸島1-17-86,32.8152158,130.8000419
46,鹿児島県,鹿児島,890-0054,鹿児島県鹿児島市荒田2丁目27-8,31.5719338,130.5472212
46,鹿児島県,薩摩,891-0122,鹿児島県鹿児島市南栄5-10-37 丸善ビル2F,31.5082287,130.5172847
46,鹿児島県,霧島,899-5213,鹿児島県姶良市加治木町朝日町261-1,31.7334112,130.6696173
47,沖縄県,那覇,900-0003,沖縄県那覇市安謝617-2番地,26.2380188,127.6927587
